iter	Passed	Remaining
0	2	2668
1	4	2284
2	6	2074
3	8	2065
4	10	2037
5	11	1964
6	13	1920
7	15	1875
8	16	1826
9	18	1812
10	19	1791
11	21	1780
12	23	1774
13	25	1763
14	26	1766
15	28	1755
16	30	1759
17	32	1750
18	34	1784
19	36	1781
20	38	1788
21	40	1791
22	42	1786
23	43	1781
24	45	1773
25	47	1765
26	48	1763
27	50	1750
28	52	1741
29	53	1740
30	55	1733
31	57	1726
32	58	1718
33	60	1714
34	62	1710
35	63	1705
36	65	1698
37	66	1691
38	68	1688
39	70	1685
40	71	1681
41	73	1679
42	75	1672
43	76	1667
44	78	1660
45	79	1653
46	81	1648
47	82	1643
48	85	1649
49	86	1646
50	88	1642
51	89	1639
52	91	1634
53	93	1630
54	94	1624
55	96	1619
56	97	1613
57	99	1612
58	100	1610
59	102	1608
60	104	1602
61	105	1599
62	107	1596
63	108	1591
64	110	1587
65	111	1582
66	113	1582
67	115	1580
68	117	1578
69	118	1578
70	121	1583
71	122	1581
72	124	1577
73	125	1571
74	127	1566
75	128	1561
76	129	1556
77	131	1553
78	133	1552
79	134	1548
80	136	1545
81	137	1540
82	139	1535
83	140	1531
84	141	1526
85	143	1522
86	144	1519
87	146	1516
88	148	1515
89	149	1512
90	151	1509
91	152	1505
92	153	1501
93	155	1497
94	156	1493
95	158	1489
96	159	1485
97	160	1481
98	162	1478
99	164	1476
100	165	1474
101	167	1471
102	168	1468
103	169	1464
104	171	1460
105	172	1458
106	174	1453
107	175	1449
108	176	1445
109	178	1442
110	179	1441
111	181	1439
112	183	1438
113	185	1437
114	186	1434
115	188	1435
116	189	1431
117	191	1428
118	192	1425
119	194	1423
120	195	1420
121	197	1419
122	198	1417
123	200	1414
124	201	1411
125	203	1409
126	205	1409
127	206	1407
128	208	1406
129	210	1405
130	211	1403
131	213	1403
132	215	1402
133	216	1400
134	218	1398
135	219	1395
136	221	1392
137	222	1389
138	223	1387
139	225	1386
140	227	1386
141	229	1384
142	230	1382
143	232	1380
144	233	1377
